experiment_No,femaleSpecies,maleSpecies,sex,releaseDay,larvaeNumber,femaleSL
207,gambusia,poecilia,M,32,0,NA
201,gambusia,poecilia,M,32,0,22
208,gambusia,control,NA,32,0,NA
211,gambusia,control,NA,16,0,NA
80,poecilia,control,NA,32,0,31
82,poecilia,control,NA,32,0,NA
210,gambusia,poecilia,M,16,0,23
212,gambusia,gambusia,M,16,0,NA
219,gambusia,poecilia,M,16,0,NA
87,poecilia,poecilia,M,28,0,25
105,poecilia,gambusia,M,7,0,20
106,poecilia,gambusia,M,7,0,21
91,poecilia,poecilia,M,32,4,26
202,gambusia,control,NA,32,1,23
215,gambusia,gambusia,M,32,1,24
15,gambusia,gambusia,M,32,0,35
62,poecilia,control,NA,32,9,NA
40,poecilia,control,NA,32,3,29
41,poecilia,poecilia,M,32,6,32
2,poecilia,gambusia,M,32,9,29
220,gambusia,control,NA,32,11,NA
47,poecilia,control,NA,31,1,22
61,poecilia,poecilia,M,31,4,28
84,poecilia,control,NA,31,12,25
66,poecilia,control,NA,28,20,28
90,poecilia,control,NA,26,2,23
79,poecilia,poecilia,M,25,1,27
88,poecilia,control,NA,25,9,NA
22,gambusia,control,NA,23,1,28
64,poecilia,control,NA,23,1,22
25,gambusia,gambusia,M,22,1,28
203,gambusia,gambusia,M,22,1,24.13
255,gambusia,gambusia,M,22,18,30
28,gambusia,poecilia,M,20,1,24
232,poecilia,poecilia,M,20,21,37.5
228,poecilia,poecilia,M,19,18,34.1
33,poecilia,poecilia,M,18,1,28
24,gambusia,gambusia,M,18,1,26
37,poecilia,poecilia,M,18,1,26
85,poecilia,poecilia,M,18,1,25
49,poecilia,control,NA,18,3,23
48,poecilia,poecilia,M,18,5,24
67,poecilia,poecilia,M,18,18,32
71,poecilia,poecilia,M,17,3,27
63,poecilia,poecilia,M,17,6,23
45,poecilia,control,NA,17,8,29
222,gambusia,poecilia,M,16,2,27
75,poecilia,poecilia,M,16,18,28
1,poecilia,poecilia,M,14,6,33
83,poecilia,poecilia,M,13,1,31
6,gambusia,poecilia,M,13,13,29
30,poecilia,control,NA,12,9,28
32,poecilia,poecilia,M,12,9,27
54,gambusia,gambusia,M,11,1,28
36,poecilia,gambusia,M,11,4,28
50,gambusia,control,NA,10,1,25
70,poecilia,control,NA,10,1,25
69,poecilia,poecilia,M,10,3,27
234,gambusia,poecilia,M,10,4,31.1
74,poecilia,control,NA,10,28,34
81,poecilia,poecilia,M,9,1,27
93,poecilia,poecilia,M,9,1,24
223,gambusia,control,NA,9,2,NA
92,poecilia,control,NA,9,3,24
13,poecilia,gambusia,M,9,5,28
230,poecilia,gambusia,M,9,7,28
53,gambusia,control,NA,8,1,27
51,gambusia,control,NA,8,1,26
209,gambusia,gambusia,M,8,4,28
42,poecilia,control,NA,8,7,30
5,poecilia,control,NA,8,10,31
34,poecilia,control,NA,8,11,28
68,poecilia,control,NA,8,18,32
226,poecilia,gambusia,M,8,23,NA
73,poecilia,poecilia,M,7,4,27
77,poecilia,poecilia,M,7,11,27
244,poecilia,gambusia,M,6,3,33
19,poecilia,poecilia,M,6,5,28
14,gambusia,poecilia,M,6,7,38
247,poecilia,gambusia,M,6,15,30.88
239,poecilia,control,NA,6,24,37.7
43,poecilia,control,NA,5,1,29
29,gambusia,poecilia,M,5,1,27
52,gambusia,gambusia,M,5,1,25
35,poecilia,poecilia,M,5,3,29
94,poecilia,control,NA,5,3,23
7,gambusia,gambusia,M,5,4,22
253,gambusia,gambusia,M,5,5,30
240,gambusia,gambusia,M,5,9,28
78,poecilia,control,NA,5,12,25
245,poecilia,gambusia,M,5,18,30.1
246,poecilia,gambusia,M,5,22,31.63
58,gambusia,control,NA,4,1,29
55,gambusia,control,NA,4,1,27
59,poecilia,control,NA,4,1,23
60,poecilia,control,NA,4,1,23
65,poecilia,poecilia,M,4,1,21
233,gambusia,gambusia,M,4,4,26
225,poecilia,control,NA,4,20,NA
27,gambusia,poecilia,M,3,1,27
20,gambusia,control,NA,3,2,27
95,poecilia,poecilia,M,3,2,26
236,gambusia,control,NA,3,3,30
21,gambusia,control,NA,3,5,36
44,poecilia,poecilia,M,2,1,23
11,poecilia,poecilia,M,2,9,30
238,gambusia,poecilia,M,2,13,27
256-2,gambusia,control,NA,1,6,NA
213,gambusia,poecilia,M,1,8,29
72,poecilia,control,NA,1,11,27
76,poecilia,control,NA,1,28,34
97,gambusia,control,NA,1,1,29
89,poecilia,poecilia,M,1,7,30
241,gambusia,control,NA,1,36,30
